Cas8838	X	Y	Xc	Yc	Height	Area	Width	Phi	Ax	BG	I	Frame	Length	Link	Valid	Z	Zc
1	0.21780	-0.35090	0.21780	-0.35090	500.00000	5000.00000	254.18707	0.00000	1.00000	470.69324	20311.41406	1	1	-1	1	0.00000	0.00000
1	0.22268	0.10367	0.22268	0.10367	500.00000	5000.00000	256.95407	0.00000	1.00000	399.54593	6094.95752	1	1	-1	1	0.00000	0.00000
1	0.22371	0.08980	0.22371	0.08980	500.00000	5000.00000	254.11003	0.00000	1.00000	419.27032	12683.88574	1	1	-1	1	0.00000	0.00000
1	0.22634	0.07319	0.22634	0.07319	500.00000	5000.00000	246.90038	0.00000	1.00000	446.18729	15474.61230	1	1	-1	1	0.00000	0.00000
1	0.23018	0.12275	0.23018	0.12275	500.00000	5000.00000	243.22598	0.00000	1.00000	387.00659	1953.11682	1	1	-1	1	0.00000	0.00000
1	0.23434	0.06188	0.23434	0.06188	500.00000	5000.00000	245.56073	0.00000	1.00000	444.76047	14238.14746	1	1	-1	1	0.00000	0.00000
1	0.23878	-0.36873	0.23878	-0.36873	500.00000	5000.00000	257.50406	0.00000	1.00000	459.79782	19937.98633	1	1	-1	1	0.00000	0.00000
1	0.25841	-0.28773	0.25841	-0.28773	500.00000	5000.00000	245.27609	0.00000	1.00000	431.12524	17337.59375	1	1	-1	1	0.00000	0.00000
1	0.25960	0.10215	0.25960	0.10215	500.00000	5000.00000	250.87863	0.00000	1.00000	439.86038	12641.16699	1	1	-1	1	0.00000	0.00000
1	0.26524	-0.16648	0.26524	-0.16648	500.00000	5000.00000	249.82359	0.00000	1.00000	416.65997	7352.15967	1	1	-1	1	0.00000	0.00000
1	0.26987	0.33943	0.26987	0.33943	500.00000	5000.00000	246.81689	0.00000	1.00000	413.17810	6814.77881	1	1	-1	1	0.00000	0.00000
1	0.28842	0.04841	0.28842	0.04841	500.00000	5000.00000	245.26326	0.00000	1.00000	444.63156	14280.22656	1	1	-1	1	0.00000	0.00000
1	0.35705	0.17792	0.35705	0.17792	500.00000	5000.00000	285.98746	0.00000	1.00000	384.83347	1137.23596	1	1	-1	1	0.00000	0.00000
1	-0.45620	0.00980	-0.45620	0.00980	500.00000	5000.00000	249.31856	0.00000	1.00000	417.55762	9065.79883	2	1	-1	1	0.00000	0.00000
1	-0.43721	0.05921	-0.43721	0.05921	500.00000	5000.00000	277.26910	0.00000	1.00000	392.79453	3853.80054	2	1	-1	1	0.00000	0.00000
1	-0.40639	-0.19364	-0.40639	-0.19364	500.00000	5000.00000	250.58757	0.00000	1.00000	427.07919	12954.61035	2	1	-1	1	0.00000	0.00000
1	-0.39156	-0.06509	-0.39156	-0.06509	500.00000	5000.00000	244.68547	0.00000	1.00000	391.14743	5996.76514	2	1	-1	1	0.00000	0.00000
1	-0.38152	-0.14699	-0.38152	-0.14699	500.00000	5000.00000	277.02084	0.00000	1.00000	399.27496	1441.88525	2	1	-1	1	0.00000	0.00000
1	-0.37809	0.13059	-0.37809	0.13059	500.00000	5000.00000	260.13840	0.00000	1.00000	427.34467	9730.29102	2	1	-1	1	0.00000	0.00000
1	-0.36151	-0.21862	-0.36151	-0.21862	500.00000	5000.00000	251.90582	0.00000	1.00000	419.04474	11706.91895	2	1	-1	1	0.00000	0.00000
1	-0.35761	0.15875	-0.35761	0.15875	500.00000	5000.00000	255.19714	0.00000	1.00000	417.33356	9434.21094	2	1	-1	1	0.00000	0.00000
1	-0.35694	-0.20842	-0.35694	-0.20842	500.00000	5000.00000	252.24823	0.00000	1.00000	433.22705	26015.28320	2	1	-1	1	0.00000	0.00000
1	-0.31830	-0.19504	-0.31830	-0.19504	500.00000	5000.00000	255.59305	0.00000	1.00000	427.70053	17297.45703	2	1	-1	1	0.00000	0.00000
1	-0.30254	-0.42129	-0.30254	-0.42129	500.00000	5000.00000	247.72212	0.00000	1.00000	378.28207	2954.96069	2	1	-1	1	0.00000	0.00000
1	-0.29498	0.08149	-0.29498	0.08149	500.00000	5000.00000	256.46188	0.00000	1.00000	446.91504	10829.20215	2	1	-1	1	0.00000	0.00000
1	-0.28794	-0.44279	-0.28794	-0.44279	500.00000	5000.00000	257.45270	0.00000	1.00000	399.62509	7205.28320	2	1	-1	1	0.00000	0.00000
1	-0.27002	-0.31508	-0.27002	-0.31508	500.00000	5000.00000	254.83548	0.00000	1.00000	399.20102	3506.01416	2	1	-1	1	0.00000	0.00000
1	-0.24844	-0.32633	-0.24844	-0.32633	500.00000	5000.00000	243.21957	0.00000	1.00000	430.86719	6281.83496	2	1	-1	1	0.00000	0.00000
1	-0.24792	-0.47115	-0.24792	-0.47115	500.00000	5000.00000	254.21916	0.00000	1.00000	380.29987	4973.85254	2	1	-1	1	0.00000	0.00000
1	-0.23567	-0.07353	-0.23567	-0.07353	500.00000	5000.00000	261.83542	0.00000	1.00000	393.40295	4573.16553	2	1	-1	1	0.00000	0.00000
1	-0.23460	0.17320	-0.23460	0.17320	500.00000	5000.00000	246.67139	0.00000	1.00000	430.05005	19684.75586	2	1	-1	1	0.00000	0.00000
1	-0.22970	-0.35712	-0.22970	-0.35712	500.00000	5000.00000	255.09229	0.00000	1.00000	414.23135	10944.04590	2	1	-1	1	0.00000	0.00000
1	-0.22704	0.05669	-0.22704	0.05669	500.00000	5000.00000	246.45097	0.00000	1.00000	437.63962	14922.03125	2	1	-1	1	0.00000	0.00000
1	-0.21519	0.05936	-0.21519	0.05936	500.00000	5000.00000	254.62790	0.00000	1.00000	405.50143	2269.79956	2	1	-1	1	0.00000	0.00000
1	-0.21400	0.09906	-0.21400	0.09906	500.00000	5000.00000	248.20790	0.00000	1.00000	464.12589	17088.02539	2	1	-1	1	0.00000	0.00000
1	-0.20803	-0.49662	-0.20803	-0.49662	500.00000	5000.00000	247.55307	0.00000	1.00000	443.11456	16306.95996	2	1	-1	1	0.00000	0.00000
1	-0.20151	0.03301	-0.20151	0.03301	500.00000	5000.00000	244.75180	0.00000	1.00000	455.31396	17747.09961	2	1	-1	1	0.00000	0.00000
1	-0.19468	-0.56078	-0.19468	-0.56078	500.00000	5000.00000	265.55902	0.00000	1.00000	384.00955	4184.95996	2	1	-1	1	0.00000	0.00000
1	-0.19105	0.11153	-0.19105	0.11153	500.00000	5000.00000	240.47395	0.00000	1.00000	389.67834	5055.89014	2	1	-1	1	0.00000	0.00000
1	-0.18815	0.06778	-0.18815	0.06778	500.00000	5000.00000	240.09946	0.00000	1.00000	394.34256	4772.87256	2	1	-1	1	0.00000	0.00000
1	-0.17784	0.12422	-0.17784	0.12422	500.00000	5000.00000	247.87836	0.00000	1.00000	419.73221	14670.80371	2	1	-1	1	0.00000	0.00000
1	-0.16897	0.06276	-0.16897	0.06276	500.00000	5000.00000	244.26173	0.00000	1.00000	508.29358	25538.34180	2	1	-1	1	0.00000	0.00000
1	-0.16299	-0.48131	-0.16299	-0.48131	500.00000	5000.00000	255.47534	0.00000	1.00000	439.38004	20424.85742	2	1	-1	1	0.00000	0.00000
1	-0.15209	-0.39811	-0.15209	-0.39811	500.00000	5000.00000	233.17868	0.00000	1.00000	426.01917	2754.55298	2	1	-1	1	0.00000	0.00000
1	-0.15131	0.07210	-0.15131	0.07210	500.00000	5000.00000	248.99542	0.00000	1.00000	471.32587	18854.49414	2	1	-1	1	0.00000	0.00000
1	-0.14940	0.03226	-0.14940	0.03226	500.00000	5000.00000	251.29379	0.00000	1.00000	459.48352	18410.00977	2	1	-1	1	0.00000	0.00000
1	-0.14719	0.05773	-0.14719	0.05773	500.00000	5000.00000	246.78267	0.00000	1.00000	432.49750	11394.20508	2	1	-1	1	0.00000	0.00000
1	-0.13280	0.05196	-0.13280	0.05196	500.00000	5000.00000	248.25497	0.00000	1.00000	468.71854	25136.42969	2	1	-1	1	0.00000	0.00000
1	-0.13147	0.06873	-0.13147	0.06873	500.00000	5000.00000	251.88226	0.00000	1.00000	481.90295	21480.02930	2	1	-1	1	0.00000	0.00000
1	-0.12880	-0.08313	-0.12880	-0.08313	500.00000	5000.00000	246.72273	0.00000	1.00000	414.55933	6143.40674	2	1	-1	1	0.00000	0.00000
1	-0.12480	0.05614	-0.12480	0.05614	500.00000	5000.00000	251.26810	0.00000	1.00000	449.72345	13416.65234	2	1	-1	1	0.00000	0.00000
1	-0.12348	-0.02568	-0.12348	-0.02568	500.00000	5000.00000	254.36038	0.00000	1.00000	420.22754	9954.33398	2	1	-1	1	0.00000	0.00000
1	-0.09496	-0.04632	-0.09496	-0.04632	500.00000	5000.00000	246.47878	0.00000	1.00000	482.66595	21483.15430	2	1	-1	1	0.00000	0.00000
1	-0.09042	-0.06079	-0.09042	-0.06079	500.00000	5000.00000	259.19467	0.00000	1.00000	401.38562	8797.92871	2	1	-1	1	0.00000	0.00000
1	-0.08265	-0.10490	-0.08265	-0.10490	500.00000	5000.00000	248.58455	0.00000	1.00000	429.16495	12249.63281	2	1	-1	1	0.00000	0.00000
1	-0.07848	-0.03317	-0.07848	-0.03317	500.00000	5000.00000	257.01614	0.00000	1.00000	467.53964	20817.60547	2	1	-1	1	0.00000	0.00000
1	-0.07732	-0.00218	-0.07732	-0.00218	500.00000	5000.00000	255.71501	0.00000	1.00000	419.19522	8341.03418	2	1	-1	1	0.00000	0.00000
1	-0.06044	-0.19928	-0.06044	-0.19928	500.00000	5000.00000	242.68027	0.00000	1.00000	395.85989	6616.66211	2	1	-1	1	0.00000	0.00000
1	-0.03762	-0.28827	-0.03762	-0.28827	500.00000	5000.00000	243.90222	0.00000	1.00000	458.11115	9948.51855	2	1	-1	1	0.00000	0.00000
1	-0.01743	-0.11127	-0.01743	-0.11127	500.00000	5000.00000	290.12408	0.00000	1.00000	369.58115	1083.71106	2	1	-1	1	0.00000	0.00000
1	0.04452	0.43305	0.04452	0.43305	500.00000	5000.00000	262.48383	0.00000	1.00000	438.41229	16721.95898	2	1	-1	1	0.00000	0.00000
1	0.07168	-0.15448	0.07168	-0.15448	500.00000	5000.00000	238.04076	0.00000	1.00000	397.65610	3386.32690	2	1	-1	1	0.00000	0.00000
